r,gtt,grr,phi,gtt_schw,grr_schw
1.061220436837526204e+00,5.802423558761945349e-02,1.721157194981453742e+01,7.070347148644008373e-01,5.768870887934007818e-02,1.733441464414759281e+01
1.061709283373206469e+00,5.846390204050466027e-02,1.708214222862864062e+01,7.070230037841175319e-01,5.812258057794028598e-02,1.720501722491546914e+01
1.062198355093897595e+00,5.890339435653104555e-02,1.695468842460735814e+01,7.070112873091765060e-01,5.855625250747009680e-02,1.707759559702746799e+01
1.062687652103329938e+00,5.934271240960584809e-02,1.682916564220164801e+01,7.069995654370927474e-01,5.898972475990948983e-02,1.695210486351715673e+01
1.063177174505281597e+00,5.978185609036099774e-02,1.670553033592351255e+01,7.069878381653800226e-01,5.942299742719669986e-02,1.682850147748218816e+01
1.063666922403578852e+00,6.022082530602165806e-02,1.658374025997931867e+01,7.069761054915510989e-01,5.985607060122732914e-02,1.670674319171722289e+01
1.064156895902095723e+00,6.065961998026848240e-02,1.646375442014078772e+01,7.069643674131175226e-01,6.028894437385501348e-02,1.658678901058452482e+01
1.064647095104753527e+00,6.109824005309065498e-02,1.634553302773945660e+01,7.069526239275896184e-01,6.072161883689042305e-02,1.646859914400810254e+01
1.065137520115522429e+00,6.153668548063426225e-02,1.622903745567486311e+01,7.069408750324766011e-01,6.115409408210292774e-02,1.635213496348162465e+01
1.065628171038419447e+00,6.197495623504018641e-02,1.611423019633618381e+01,7.069291207252866860e-01,6.158637020121848771e-02,1.623735895998973788e+01
1.066119047977510448e+00,6.241305230427941775e-02,1.600107482133868686e+01,7.069173610035267563e-01,6.201844728592187383e-02,1.612423470374433165e+01
1.066610151036908372e+00,6.285097369197821526e-02,1.588953594298655858e+01,7.069055958647025850e-01,6.245032542785489138e-02,1.601272680564715145e+01
1.067101480320775009e+00,6.328872041724054043e-02,1.577957917737450444e+01,7.068938253063189459e-01,6.288200471861782326e-02,1.590280088039121331e+01
1.067593035933319223e+00,6.372629251446162990e-02,1.567117110904891142e+01,7.068820493258791693e-01,6.331348524976798675e-02,1.579442351112181875e+01
1.068084817978798506e+00,6.416369003313943109e-02,1.556427925715078686e+01,7.068702679208856976e-01,6.374476711282117680e-02,1.568756221557937103e+01
1.068576826561518311e+00,6.460091303767803717e-02,1.545887204296973749e+01,7.068584810888397518e-01,6.417585039925088886e-02,1.558218541365324583e+01
1.069069061785831831e+00,6.503796160718776365e-02,1.535491875884011392e+01,7.068466888272414428e-01,6.460673520048842988e-02,1.547826239627784162e+01
1.069561523756140664e+00,6.547483583528015960e-02,1.525238953831517108e+01,7.068348911335894380e-01,6.503742160792302940e-02,1.537576329560668498e+01
1.070054212576894370e+00,6.591153582985845305e-02,1.515125532755843984e+01,7.068230880053817389e-01,6.546790971290183947e-02,1.527465905640376320e+01
1.070547128352590471e+00,6.634806171290426324e-02,1.505148785789479327e+01,7.068112794401149035e-01,6.589819960672982369e-02,1.517492140859453009e+01
1.071040271187774895e+00,6.678441362026044104e-02,1.495305961946644935e+01,7.067994654352842687e-01,6.632829138067031227e-02,1.507652284092191231e+01
1.071533641187041530e+00,6.722059170140931572e-02,1.485594383594292900e+01,7.067876459883840612e-01,6.675818512594411391e-02,1.497943657565627618e+01
1.072027238455032672e+00,6.765659611924902672e-02,1.476011444023533592e+01,7.067758210969076194e-01,6.718788093373051495e-02,1.488363654430969341e+01
1.072521063096438354e+00,6.809242704986497030e-02,1.466554605116956367e+01,7.067639907583468384e-01,6.761737889516628019e-02,1.478909736430919786e+01
1.073015115215997239e+00,6.852808468229971972e-02,1.457221395107374740e+01,7.067508109936213589e-01,6.804667910134643005e-02,1.469579431658426216e+01
1.073509394918496396e+00,6.896356921832001718e-02,1.448009406423891576e+01,7.067370136675700243e-01,6.847578164332457362e-02,1.460370332402749582e+01
