omega,lmax_eff,sigma_abs
5.380000000000004334e+00,1.800000000000000000e+01,1.971772936522346598e+01
5.400000000000003908e+00,1.800000000000000000e+01,1.979621440388331166e+01
5.420000000000003482e+00,1.800000000000000000e+01,1.986945492215002673e+01
5.440000000000003944e+00,1.800000000000000000e+01,1.992726334667781884e+01
5.460000000000004405e+00,1.800000000000000000e+01,1.996132418430903854e+01
5.480000000000003979e+00,1.800000000000000000e+01,1.997366915317775593e+01
5.500000000000003553e+00,1.800000000000000000e+01,1.996274502459068501e+01
5.520000000000004015e+00,1.800000000000000000e+01,1.993051711367629508e+01
5.540000000000004476e+00,1.800000000000000000e+01,1.988310510299303502e+01
5.560000000000004050e+00,1.800000000000000000e+01,1.981142866176209338e+01
5.580000000000003624e+00,1.800000000000000000e+01,1.975922908087190777e+01
5.600000000000004086e+00,1.800000000000000000e+01,1.969317577415301557e+01
5.620000000000004547e+00,1.800000000000000000e+01,1.963145859678690996e+01
5.640000000000004121e+00,1.800000000000000000e+01,1.957881172331402198e+01
5.660000000000003695e+00,1.900000000000000000e+01,1.954017718457075503e+01
5.680000000000004157e+00,1.900000000000000000e+01,1.951975209230204911e+01
5.700000000000004619e+00,1.900000000000000000e+01,1.951988385481918797e+01
5.720000000000004192e+00,1.900000000000000000e+01,1.954231485040035210e+01
5.740000000000003766e+00,1.900000000000000000e+01,1.958650357698906674e+01
5.760000000000004228e+00,1.900000000000000000e+01,1.964813619854285420e+01
5.780000000000004690e+00,1.900000000000000000e+01,1.821638875628734411e+01
5.800000000000004263e+00,1.900000000000000000e+01,1.979397461394365010e+01
5.820000000000003837e+00,1.900000000000000000e+01,1.986095820904456843e+01
5.840000000000004299e+00,1.900000000000000000e+01,1.991689980784394365e+01
5.860000000000004761e+00,1.900000000000000000e+01,1.994628798956879479e+01
5.880000000000004334e+00,1.900000000000000000e+01,1.995563222450455143e+01
5.900000000000003908e+00,1.900000000000000000e+01,1.994569774723789024e+01
5.920000000000004370e+00,1.900000000000000000e+01,1.991488822814334014e+01
5.940000000000004832e+00,1.900000000000000000e+01,1.986889546616260560e+01
5.960000000000004405e+00,1.900000000000000000e+01,1.981440707659491451e+01
5.980000000000003979e+00,1.900000000000000000e+01,1.975317372763716506e+01
6.000000000000004441e+00,1.900000000000000000e+01,1.963652631656320580e+01
6.020000000000004903e+00,1.900000000000000000e+01,1.963413044345106684e+01
6.040000000000004476e+00,1.900000000000000000e+01,1.958500317234670973e+01
6.060000000000004050e+00,2.000000000000000000e+01,1.955086019435978173e+01
6.080000000000004512e+00,2.000000000000000000e+01,1.953101083280795791e+01
6.100000000000004974e+00,2.000000000000000000e+01,1.953160224101173981e+01
6.120000000000004547e+00,2.000000000000000000e+01,1.955465393961257803e+01
6.140000000000004121e+00,2.000000000000000000e+01,1.959596464074238398e+01
6.160000000000004583e+00,2.000000000000000000e+01,1.965195067403854523e+01
6.180000000000005045e+00,2.000000000000000000e+01,1.972230610607036638e+01
6.200000000000004619e+00,2.000000000000000000e+01,1.979147351282155398e+01
6.220000000000004192e+00,2.000000000000000000e+01,1.981967651118212004e+01
6.240000000000004654e+00,2.000000000000000000e+01,1.990236569230675556e+01
6.260000000000005116e+00,2.000000000000000000e+01,1.993169097746362795e+01
6.280000000000004690e+00,2.000000000000000000e+01,1.994183405479281035e+01
6.300000000000004263e+00,2.000000000000000000e+01,1.992962839542342834e+01
6.320000000000004725e+00,2.000000000000000000e+01,1.990065153059978442e+01
6.340000000000005187e+00,2.000000000000000000e+01,1.985828492460886352e+01
6.360000000000004761e+00,2.000000000000000000e+01,1.980585620101925315e+01
6.380000000000004334e+00,2.000000000000000000e+01,1.974780841383404351e+01
6.400000000000004796e+00,2.000000000000000000e+01,1.969054114775672915e+01
6.420000000000005258e+00,2.000000000000000000e+01,1.963637862042668303e+01
6.440000000000004832e+00,2.100000000000000000e+01,1.958624478852245332e+01
6.460000000000004405e+00,2.100000000000000000e+01,1.955809357807251558e+01
6.480000000000004867e+00,2.100000000000000000e+01,1.954132901864203475e+01
6.500000000000005329e+00,2.100000000000000000e+01,1.954323786412831510e+01
6.520000000000004903e+00,2.100000000000000000e+01,1.956461737360732300e+01
6.540000000000004476e+00,2.100000000000000000e+01,1.960457022546761507e+01
6.560000000000004938e+00,2.100000000000000000e+01,1.965964302364600513e+01
6.580000000000005400e+00,2.100000000000000000e+01,1.972417178269446225e+01
6.600000000000004974e+00,2.100000000000000000e+01,1.978959827060673859e+01
6.620000000000004547e+00,2.100000000000000000e+01,1.984763080951733372e+01
6.640000000000005009e+00,2.100000000000000000e+01,1.989302933911536186e+01
6.660000000000005471e+00,2.100000000000000000e+01,1.993079633227185710e+01
6.680000000000005045e+00,2.100000000000000000e+01,1.992757397689898013e+01
6.700000000000004619e+00,2.100000000000000000e+01,1.991678640138854206e+01
6.720000000000005080e+00,2.100000000000000000e+01,1.988839229817912724e+01
6.740000000000005542e+00,2.100000000000000000e+01,1.984808588630360759e+01
6.760000000000005116e+00,2.100000000000000000e+01,1.979863080884044635e+01
6.780000000000004690e+00,2.100000000000000000e+01,1.974401649402543768e+01
6.800000000000005151e+00,2.100000000000000000e+01,1.968979511676679195e+01
6.820000000000005613e+00,2.100000000000000000e+01,1.963956963547274270e+01
6.840000000000005187e+00,2.200000000000000000e+01,1.959656687834079491e+01
6.860000000000004761e+00,2.200000000000000000e+01,1.956631748012258498e+01
6.880000000000005222e+00,2.200000000000000000e+01,1.955783859253844881e+01
6.900000000000005684e+00,2.200000000000000000e+01,1.955317150366474621e+01
6.920000000000005258e+00,2.200000000000000000e+01,1.957486185525928590e+01
6.940000000000004832e+00,2.200000000000000000e+01,1.961100829502611376e+01
6.960000000000005294e+00,2.200000000000000000e+01,1.966575364188081565e+01
6.980000000000005755e+00,2.200000000000000000e+01,1.972737817814173766e+01
7.000000000000005329e+00,2.200000000000000000e+01,1.978777543709708553e+01
7.020000000000004903e+00,2.200000000000000000e+01,1.984333236001820566e+01
7.040000000000005365e+00,2.200000000000000000e+01,1.988546686183052259e+01
7.060000000000005826e+00,2.200000000000000000e+01,1.990992309968382301e+01
7.080000000000005400e+00,2.200000000000000000e+01,1.991672128529070918e+01
7.100000000000004974e+00,2.200000000000000000e+01,1.990890625323741148e+01
7.120000000000005436e+00,2.200000000000000000e+01,1.987826955261869699e+01
7.140000000000005898e+00,2.200000000000000000e+01,1.983926868561790968e+01
7.160000000000005471e+00,2.200000000000000000e+01,1.979161622148779287e+01
7.180000000000005045e+00,2.200000000000000000e+01,1.974100798405790513e+01
7.200000000000005507e+00,2.200000000000000000e+01,1.968964152836556281e+01
7.220000000000005969e+00,2.200000000000000000e+01,1.964162630430979917e+01
7.240000000000005542e+00,2.300000000000000000e+01,1.960208691206628018e+01
7.260000000000005116e+00,2.300000000000000000e+01,1.957406795048199299e+01
7.280000000000005578e+00,2.300000000000000000e+01,1.955981957939745897e+01
7.300000000000006040e+00,2.300000000000000000e+01,1.956291807270376637e+01
7.320000000000005613e+00,2.300000000000000000e+01,1.958393833386794469e+01
7.340000000000005187e+00,2.300000000000000000e+01,1.962079763698452339e+01
7.360000000000005649e+00,2.300000000000000000e+01,1.967125930194067607e+01
7.380000000000006111e+00,2.300000000000000000e+01,1.972893993314688643e+01
7.400000000000005684e+00,2.300000000000000000e+01,1.978723448234660864e+01
7.420000000000005258e+00,2.300000000000000000e+01,1.983869313787090150e+01
7.440000000000005720e+00,2.300000000000000000e+01,1.987839846983771608e+01
7.460000000000006182e+00,2.300000000000000000e+01,1.990076338669303269e+01
7.480000000000005755e+00,2.300000000000000000e+01,1.990564807348707532e+01
7.500000000000005329e+00,2.300000000000000000e+01,1.989483391334230333e+01
7.520000000000005791e+00,2.300000000000000000e+01,1.986862552444489793e+01
7.540000000000006253e+00,2.300000000000000000e+01,1.982821388890891612e+01
7.560000000000005826e+00,2.300000000000000000e+01,1.978637212993287875e+01
7.580000000000005400e+00,2.300000000000000000e+01,1.973746296070383366e+01
7.600000000000005862e+00,2.300000000000000000e+01,1.968968202847151616e+01
7.620000000000006324e+00,2.300000000000000000e+01,1.964383510278725353e+01
7.640000000000005898e+00,2.400000000000000000e+01,1.960626494483727100e+01
7.660000000000005471e+00,2.400000000000000000e+01,1.958060375269407061e+01
7.680000000000005933e+00,2.400000000000000000e+01,1.956751583289727847e+01
7.700000000000006395e+00,2.400000000000000000e+01,1.957053113297570235e+01
7.720000000000005969e+00,2.400000000000000000e+01,1.959188660267387050e+01
7.740000000000005542e+00,2.400000000000000000e+01,1.962726471295119524e+01
7.760000000000006004e+00,2.400000000000000000e+01,1.966965510818711493e+01
7.780000000000006466e+00,2.400000000000000000e+01,1.973070802647398736e+01
7.800000000000006040e+00,2.400000000000000000e+01,1.978546557826528485e+01
7.820000000000005613e+00,2.400000000000000000e+01,1.983691955691941544e+01
7.840000000000006075e+00,2.400000000000000000e+01,1.987103773101529214e+01
7.860000000000006537e+00,2.400000000000000000e+01,1.989168531413137231e+01
7.880000000000006111e+00,2.400000000000000000e+01,1.989669945449130495e+01
7.900000000000005684e+00,2.400000000000000000e+01,1.988484582544837664e+01
7.920000000000006146e+00,2.400000000000000000e+01,1.985946889234057267e+01
7.940000000000006608e+00,2.400000000000000000e+01,1.982393859583271478e+01
7.960000000000006182e+00,2.400000000000000000e+01,1.978085540206692272e+01
7.980000000000005755e+00,2.400000000000000000e+01,1.973252050512055433e+01
8.000000000000007105e+00,2.400000000000000000e+01,1.968805935660888196e+01
8.020000000000006679e+00,2.400000000000000000e+01,1.964532977091459642e+01
8.040000000000006253e+00,2.500000000000000000e+01,1.961090646973647011e+01
8.060000000000005826e+00,2.500000000000000000e+01,1.958566465428124559e+01
8.080000000000005400e+00,2.500000000000000000e+01,1.957424450918655978e+01
8.100000000000006750e+00,2.500000000000000000e+01,1.957862032241624917e+01
8.120000000000006324e+00,2.500000000000000000e+01,1.959849690948221124e+01
8.140000000000005898e+00,2.500000000000000000e+01,1.963282165697652815e+01
8.160000000000007248e+00,2.500000000000000000e+01,1.967970698933500984e+01
8.180000000000006821e+00,2.500000000000000000e+01,1.973229734958026782e+01
8.200000000000006395e+00,2.500000000000000000e+01,1.978418756289919500e+01
8.220000000000005969e+00,2.500000000000000000e+01,1.983060426177972246e+01
8.240000000000005542e+00,2.500000000000000000e+01,1.986496807541698928e+01
8.260000000000006892e+00,2.500000000000000000e+01,1.988358133176899756e+01
8.280000000000006466e+00,2.500000000000000000e+01,1.988774843156265959e+01
8.300000000000006040e+00,2.500000000000000000e+01,1.987636688831343079e+01
8.320000000000007390e+00,2.500000000000000000e+01,1.985173324623172064e+01
8.340000000000006963e+00,2.500000000000000000e+01,1.981709326195221266e+01
8.360000000000006537e+00,2.500000000000000000e+01,1.977629015988757288e+01
8.380000000000006111e+00,2.500000000000000000e+01,1.973169130487113776e+01
8.400000000000005684e+00,2.500000000000000000e+01,1.968769623645954425e+01
8.420000000000007034e+00,2.500000000000000000e+01,1.964789601366377170e+01
8.440000000000006608e+00,2.600000000000000000e+01,1.961403566150952571e+01
8.460000000000006182e+00,2.600000000000000000e+01,1.959119037996819301e+01
8.480000000000007532e+00,2.600000000000000000e+01,1.957911475025310466e+01
8.500000000000007105e+00,2.600000000000000000e+01,1.958539701966185476e+01
8.520000000000006679e+00,2.600000000000000000e+01,1.960549010227166988e+01
8.540000000000006253e+00,2.600000000000000000e+01,1.963821859641055312e+01
8.560000000000005826e+00,2.600000000000000000e+01,1.968355848284177512e+01
8.580000000000007176e+00,2.600000000000000000e+01,1.973470543768229390e+01
8.600000000000006750e+00,2.600000000000000000e+01,1.978390715345583928e+01
8.620000000000006324e+00,2.600000000000000000e+01,1.982757505981599166e+01
8.640000000000007674e+00,2.600000000000000000e+01,1.986192670803807658e+01
8.660000000000007248e+00,2.600000000000000000e+01,1.987749943217484017e+01
8.680000000000006821e+00,2.600000000000000000e+01,1.988045016584452540e+01
8.700000000000006395e+00,2.600000000000000000e+01,1.986679170891627777e+01
