theta_deg,log10_dsigma_dOmega
87.70550393,0.97107898
87.81987134,0.97552836
87.93423874,0.97997775
88.04860615,0.98353726
88.16297355,0.98709677
88.27734096,0.98976641
88.39170836,0.99154616
88.50607577,0.99243604
88.62044317,0.99332592
88.73481058,0.99332592
88.84917798,0.99332592
88.96354539,0.99332592
89.07791279,0.99332592
89.19228020,0.99332592
89.30664761,0.99332592
89.42101501,0.99332592
89.53538242,0.99243604
89.64974982,0.99065628
89.76411723,0.98798665
89.87848463,0.98442714
89.99285204,0.97997775
90.10721944,0.97552836
90.22158685,0.97018910
90.33595425,0.96484983
90.45032166,0.95862069
90.56468906,0.95239155
90.67905647,0.94527253
90.79342387,0.93815350
90.90779128,0.93014461
91.02215868,0.92213571
91.13652609,0.91323693
91.25089350,0.90433815
91.36526090,0.89454950
91.47962831,0.88476085
91.59399571,0.87497219
91.70836312,0.86429366
91.82273052,0.85361513
91.93709793,0.84293660
92.05146533,0.83225806
92.16583274,0.82068966
92.28020014,0.81001112
92.39456755,0.79844271
92.50893495,0.78776418
92.62330236,0.77619577
92.73766976,0.76551724
92.85203717,0.75394883
92.96640457,0.74327030
93.08077198,0.73170189
93.19513939,0.72102336
93.30950679,0.71034483
93.42387420,0.70055617
93.53824160,0.69076752
93.65260901,0.68186874
93.76697641,0.67385984
93.88134382,0.66674082
93.99571122,0.66051168
94.11007863,0.65517241
94.22444603,0.65072303
94.33881344,0.64716352
94.45318084,0.64449388
94.56754825,0.64271413
94.68191565,0.64182425
94.79628306,0.64182425
94.91065046,0.64182425
95.02501787,0.64271413
95.13938528,0.64449388
95.25375268,0.64805339
95.36812009,0.65250278
95.48248749,0.65873192
95.59685490,0.66614757
95.71122230,0.67474972
95.82558971,0.68364850
95.93995711,0.69165740
96.05432452,0.69966630
96.16869192,0.70737857
96.28305933,0.71568409
96.39742673,0.72369299
96.51179414,0.73348165
96.62616154,0.74327030
96.74052895,0.75305895
96.85489635,0.76284761
96.96926376,0.77263626
97.08363117,0.78242492
97.19799857,0.79221357
97.31236598,0.80200222
97.42673338,0.81090100
97.54110079,0.81979978
97.65546819,0.82780868
97.76983560,0.83581758
97.88420300,0.84293660
97.99857041,0.85005562
98.11293781,0.85628476
98.22730522,0.86251390
98.34167262,0.86785317
98.45604003,0.87319244
98.57040743,0.87764182
98.68477484,0.88209121
98.79914224,0.88654060
98.91350965,0.89010011
99.02787706,0.89365962
99.14224446,0.89632925
99.25661187,0.89810901
99.37097927,0.89899889
99.48534668,0.89988877
99.59971408,0.89988877
99.71408149,0.89988877
99.82844889,0.89988877
99.94281630,0.89988877
100.05718370,0.89988877
100.17155111,0.89899889
100.28591851,0.89721913
100.40028592,0.89454950
100.51465332,0.89098999
100.62902073,0.88654060
100.74338813,0.88120133
100.85775554,0.87586207
100.97212294,0.87052280
101.08649035,0.86429366
101.20085776,0.85717464
101.31522516,0.84916574
101.42959257,0.84115684
101.54395997,0.83225806
101.65832738,0.82246941
101.77269478,0.81268076
101.88706219,0.80289210
102.00142959,0.79221357
102.11579700,0.78064516
102.23016440,0.76996663
102.34453181,0.75839822
102.45889921,0.74682981
102.57326662,0.73437152
